unit,actual_rul,pred_rul,abs_error
96,249,148.92049600218832,100.07950399781168
92,239,142.8772162143888,96.1227837856112
92,248,152.92126162037619,95.07873837962381
93,90,178.33331108377632,88.33331108377632
92,225,137.39243546097723,87.60756453902277
65,57,142.95359988916533,85.95359988916533
93,58,143.82457125167207,85.82457125167207
93,47,132.69110019349702,85.69110019349702
67,228,145.69797834361498,82.30202165638502
92,276,195.6276975886641,80.37230241133591
65,74,151.54351928160926,77.54351928160926
56,176,98.68868693458639,77.31131306541361
92,269,192.09211623263337,76.90788376736663
65,69,145.77015829883877,76.77015829883877
65,34,108.9317397741553,74.9317397741553
84,158,84.13170842279487,73.86829157720513
93,118,191.2945441716435,73.29454417164351
96,217,143.7311308629464,73.2688691370536
64,167,94.04963493472498,72.95036506527502
84,144,71.3423065869154,72.6576934130846
86,200,127.48201103343014,72.51798896656986
86,210,141.19359858804867,68.80640141195133
84,139,70.4294165037289,68.5705834962711
84,149,80.6774463487935,68.3225536512065
56,162,94.63130236289467,67.36869763710533
17,158,90.85313498564486,67.14686501435514
86,207,140.10521592906824,66.89478407093176
83,292,225.4013814294413,66.5986185705587
65,54,120.57586822216135,66.57586822216135
84,163,96.75640666964321,66.24359333035679
92,192,125.7694221471834,66.2305778528166
92,284,218.06682048452313,65.93317951547687
67,224,158.64359031683807,65.35640968316193
83,291,225.65709338693512,65.34290661306488
84,112,46.85529992173765,65.14470007826236
65,37,101.48502224549755,64.48502224549755
67,235,170.74660636129306,64.25339363870694
69,222,158.05731930504768,63.942680694952315
69,258,194.15693414364455,63.84306585635545
86,181,117.34164707632105,63.65835292367895
65,28,90.7915212422875,62.7915212422875
64,174,111.22185361175455,62.778146388245446
86,176,113.50133139742276,62.49866860257724
69,264,201.76589914744406,62.23410085255594
3,160,222.0940341391565,62.09403413915649
86,182,119.9906787295005,62.0093212704995
90,39,100.9194683994331,61.9194683994331
56,213,151.2378185175681,61.76218148243191
56,147,85.32542682093322,61.67457317906678
93,120,181.54205470078168,61.54205470078168
65,38,99.50716030410632,61.50716030410632
2,264,202.72673019762948,61.27326980237052
94,160,98.73453512457075,61.265464875429245
96,188,126.75283068641443,61.24716931358557
58,58,119.13073344247995,61.13073344247995
84,172,111.18062383978594,60.81937616021406
70,68,128.46966408019273,60.46966408019273
7,144,83.75988233937102,60.24011766062898
83,286,225.94764333120213,60.05235666879787
67,266,206.30034258494732,59.699657415052684
67,255,195.32276101252697,59.67723898747303
96,187,127.61311380705006,59.386886192949945
90,37,96.34569777576934,59.34569777576934
93,31,90.24957210035342,59.24957210035342
83,284,224.88678499509217,59.11321500490783
64,177,118.58115748960246,58.41884251039754
64,185,126.58237507463673,58.41762492536327
70,76,133.8167193846782,57.81671938467821
93,42,99.63131783820158,57.63131783820158
83,283,225.39238689765997,57.607613102340025
86,222,165.17769463479382,56.82230536520618
86,223,166.35521646228275,56.644783537717245
3,79,135.54422630263838,56.54422630263838
93,49,105.43349937556604,56.43349937556604
93,51,107.24222968526468,56.242229685264675
83,282,225.96813565462443,56.03186434537557
84,155,99.07738804404302,55.92261195595698
83,281,225.4319519217307,55.5680480782693
86,211,155.44893586869995,55.55106413130005
93,105,160.1701212572072,55.1701212572072
98,66,120.93114292092544,54.93114292092544
68,76,130.85806782675843,54.85806782675843
17,218,163.1571598249885,54.8428401750115
86,199,144.51229949935984,54.48770050064016
90,34,88.33188651482962,54.33188651482962
92,285,231.23186308415634,53.768136915843655
86,224,170.58154388062945,53.418456119370546
20,132,78.78036920793407,53.21963079206593
77,67,120.10792266517194,53.10792266517194
7,208,155.15021163322658,52.849788366773424
77,64,116.79477277188857,52.794772771888574
90,63,115.77981075566638,52.779810755666375
84,86,33.22903665933246,52.77096334066754
93,95,147.69382373434084,52.69382373434084
17,178,125.58702230756656,52.412977692433444
39,79,131.32314799403724,52.32314799403724
77,62,114.13093572287173,52.130935722871726
93,65,117.08814708154836,52.08814708154836
46,172,119.96645999768197,52.033540002318034
67,298,246.36633841750708,51.63366158249292
39,96,147.53558055750057,51.535580557500566
20,138,86.8385306032054,51.1614693967946
86,172,121.09783065102248,50.90216934897752
86,173,122.15998748581681,50.84001251418319
93,87,137.71700744841294,50.71700744841294
90,51,101.41674948356462,50.416749483564615
86,228,177.62539058881674,50.37460941118326
24,90,140.03946936440053,50.03946936440053
3,65,114.96184855672941,49.96184855672941
86,203,153.05974156841742,49.94025843158258
56,109,59.18202307539144,49.81797692460856
58,82,131.68038633427525,49.680386334275255
84,198,148.38251167424903,49.61748832575097
70,51,100.40299517241714,49.402995172417135
92,329,279.6224292617412,49.37757073825878
57,116,165.36753972824246,49.36753972824246
93,144,193.28719786477666,49.28719786477666
59,162,112.75007503347246,49.249924966527544
39,68,117.15582232653195,49.15582232653195
56,106,56.877041702974154,49.122958297025846
20,229,179.9390081740424,49.060991825957586
84,109,59.977838389756535,49.022161610243465
17,176,127.01859749696307,48.98140250303693
20,178,129.24249102217848,48.757508977821516
7,248,199.3189687448923,48.68103125510771
98,40,88.67608408357184,48.67608408357184
73,93,44.41114530077003,48.58885469922997
92,294,245.42795312522605,48.572046874773946
83,273,224.48379608187844,48.51620391812156
49,117,68.60943674725759,48.39056325274241
85,107,155.3851044869395,48.3851044869395
94,155,106.7702679909547,48.22973200904531
24,53,101.13521009385272,48.13521009385272
24,30,77.94734481927641,47.94734481927641
25,228,180.259953673368,47.74004632663201
39,81,128.73840191667014,47.73840191667014
92,217,169.31178308439846,47.688216915601544
46,253,205.32885509397994,47.67114490602006
69,267,219.43829927230763,47.56170072769237
20,141,93.49803507006126,47.50196492993874
70,58,105.36435650775479,47.36435650775479
83,244,196.68695759380032,47.313042406199685
91,73,120.26762149043755,47.26762149043755
84,178,130.80803960479096,47.19196039520904
39,103,150.1712646069092,47.171264606909205
17,169,121.8529446864865,47.147055313513505
83,189,141.89061458758715,47.10938541241285
20,168,120.96700642367776,47.03299357632224
20,170,123.02045011285801,46.979549887141985
